Date,District,Type of Event,Question and Remarks
20180802,ALLAHABAD,ABSCOND FROM CUSTODY,  Q: Can we take your valuable feedback on your registered event with UP100 P02081803974?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: No action taken by Police Station staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: caller santust nahi hai thane ki police vipakshi ko nhi pakad payi hai naini thane ki .....isliye   
20180512,SIDDHARTH NAGAR,ABSCOND FROM CUSTODY,  Q: Can we take your valuable feedback on your registered event with UP100 P12051805390?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: No action taken by Police Station staff.    Q: Do you want to share any additional feedback?   Ans: -1    Comment: Ans:    Remark: Ans: Caller Police Station gaye lekin unki koi bhi sahayta nahi kari gai. caller ko shak hai police ne ghoos liya hai kyoki caller call karke batata hai muzrim yaha hai paKADIYE par police kuch nahi karti hai ...   
20180614,AMBEDKAR NAGAR,ABSCOND FROM CUSTODY,"  Q: Can we take your valuable feedback on your registered event with UP100 P14061809013?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: No action taken by Police Station staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: Caller Police Station gaye lekin unki koi bhi sahayta nahi kari gai. ,,,,thane se koi karyawahi nahi ho rahi hai,,,,, "
20180605,SIDDHARTH NAGAR,ATTEMPTED MURDER,  Q: Can we take your valuable feedback on your registered event with UP100 P05061810299?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:  
20180808,GONDA,DOMESTIC VIOLENCE,  Q: Can we take your valuable feedback on your registered event with UP100 P08081806890?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:  
20180818,AMETHI,INFORMATION_AGAINST_POLICE,  Q: Can we take your valuable feedback on your registered event with UP100 P18081800884?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:  
20180827,HARDOI,THEFT,  Q: Can we take your valuable feedback on your registered event with UP100 P27081806391?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:  
20180731,MAU,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 M31071801317?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Misbehaviour by Police Station staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans:  PRV-Caller santusht hai lekin PRV 30  mints ke bad pahunchi thi. PS-Caller se police station par Vyavahaar achcha nahi hua aur unki koi sahayta nahi kari gai. AMBULANCE  
20180512,AMETHI,THEFT,  Q: Can we take your valuable feedback on your registered event with UP100 P12051813736?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:          caller ka jab tak saaman nahi mil jata tab tak calle santusth nahi hain  
20180621,GORAKHPUR,DOMESTIC VIOLENCE,"  Q: Can we take your valuable feedback on your registered event with UP100 P21061808226?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:          UP 100 Ki police aayi to thi lekin unhone koi karyawahi nahi kari.     police  ne caller ko thane par jane ko bola ... 100 ki police se santuth nhi hai,,   "
20180621,HARDOI,THREAT IN PERSON,"  Q: Can we take your valuable feedback on your registered event with UP100 P21061800320?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:        Caller_Santusht_nahi hai,   PRV time par pahuch gayi thi,  koi action nahi liya tha sabot dekh kar bhi , kah rahe the kyaa kare , jab bhi koi ghatna ho sabot dekhne ke baad  action lena chahiye ,  "
20180627,KANPUR CITY,FEMALE HARRASSMENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P27061810357?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:       Caller_Santusht_nahi hai,   PRV time par pahuch gayi thi,   muljim chhip gaye the , jankari leke chale gaye the ,  "
20180809,GAUTAM B. NAGAR,POLLUTION,  Q: Can we take your valuable feedback on your registered event with UP100 P09081807620?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans: caller ne bataya call parek police wale ne bura vyavhar kiya lekin inko jankari nahi hai ki wo up 100 ki police thi ya thane ki  
20180501,LUCKNOW,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01051803854?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Misbehaviour by the PRV staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: UP 100 ki police aayi thi lekin unhone caller se durvayvhaar kiya. 2 ghante tak caller ko pareshan kiya kaha galat complain karwaya tha  
20180501,KANPUR CITY,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01051804512?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Misbehaviour by the PRV staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: POLICE KA VEVHAR NAHI ACHA HAI  
20180501,KANPUR CITY,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01051805232?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Misbehaviour by Police Station staff.    Comment: Ans:    Remark: Ans: PS Caller KE DOST SE BARRA CHOWKI par 1500 RUPAYE liye gaye. Caller ne bataya ki chowki par jo bhi padit jata hai waha par use ghoos manga jata hai 100, 1500, 2000 rupaye ...  PRV  Caller santusth hai PRV time par pahunch gayi thi aur caller ki puri sahayta kari.  "
20180815,SAHARANPUR,DOMESTIC VIOLENCE,  Q: Can we take your valuable feedback on your registered event with UP100 P15081812398?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:       UP 100 Ki police aayi to thi lekin unhone koi karyawahi nahi kari. 100 no ki police ne pratiwadi ko nhi pakada hai ...  
20180501,SULTANPUR,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01051805383?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: PRV.. (PRV Remarks) Thane ki force maujood hai ghayal ko hospital bheja gya  PRV No:- 2836  .PRV ki koi call hi nahi aayi thi.  aur bataya hai ki   100  number ki police nhi gayi thi aur call   bhi nhi ayi thi aur caller ko koi  sahayata nhi mili thi aur caller police se santusht nhi hai .....  PS- thane ki police aayi thi aur thane se caller santusht hai unho  ne sahayata ki thi .  
20180501,KHERI,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01051805675?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: Caller Wait 30 Min_YES_ ,,,,Police nhi pahuchi thi ,,,caller santust nahi hai ,,,,police ne phone kiya aur ambulance ke bare me puchha tha  "
20180708,LUCKNOW,THEFT,"  Q: Can we take your valuable feedback on your registered event with UP100 P08071806466?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:      NOT_SATISFIED     police ne camera check nahi kiya tha , kankari lekar chale gaye ,  "
20180720,BULANDSHAHR,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P20071808603?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:      police call karne ke 10 minaute baad pahuch gayi thi   tab tak   ghayal ko hospital pahucha diya gaya tha   is vajah se caller santust nhi hai   caller ne bataya ki police ko time par pahuchna chahiye    laparwahi nhi karni chahiye     
20180530,GHAZIABAD,DOMESTIC VIOLENCE,"  Q: Can we take your valuable feedback on your registered event with UP100 P30051809128?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:     Caller ne kaha ki ""UP 100 Ki police aayi to thi lekin unhone koi karyawahi nahi kari.""  "
20180604,MEERUT,ASSAULT/RIOT/COMMOTION,  Q: Can we take your valuable feedback on your registered event with UP100 P04061811572?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans: caller ne kaha ki hum 100 number ki police se santusht hai lekin unka vyvhar achcha nahi tha .. 
20180501,PILIBHIT,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01051806881?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: caller ne kaha ki hum log apas me problem solve kar liya tha or koi police ne call nahi kiya tha  
