,PRV,totalKMS,totalFUEL,mileage,Total Days,KMs per day,District,FuelperDay,Amount,PRV NO.,Month
0,"(1, 'Dec-18')",1094.0,165.0,6.63030303030303,20,54.7,Agra,8.25,13155.349999999999,1,Dec-18
1,"(1, 'Jan-19')",1440.0,200.0,7.2,24,60.0,Agra,8.333333333333334,15136.8,1,Jan-19
2,"(1, 'Nov-18')",0.0,40.0,0.0,14,0.0,Agra,2.857142857142857,5450.0,1,Nov-18
3,"(1, 'Oct-18')",0.0,40.0,0.0,3,0.0,Agra,13.333333333333334,5842.2142,1,Oct-18
4,"(5, 'Oct-18')",1705.0,240.0,7.104166666666667,29,58.793103448275865,Agra,8.275862068965518,19624.1,5,Oct-18
5,"(11, 'Dec-18')",1022.0,180.0,5.677777777777778,24,42.583333333333336,Agra,7.5,14122.979099999999,11,Dec-18
6,"(11, 'Feb-19')",0.0,36.72999999999999,0.0,7,0.0,Agra,5.2471428571428556,5156.6498,11,Feb-19
7,"(11, 'Jan-19')",1371.0,160.0,8.56875,23,59.608695652173914,Agra,6.956521739130435,12643.6,11,Jan-19
8,"(11, 'Nov-18')",1496.0,180.01,8.310649408366203,22,68.0,Agra,8.182272727272727,15720.543599999999,11,Nov-18
9,"(11, 'Oct-18')",1417.0,225.0,6.297777777777778,28,50.607142857142854,Agra,8.035714285714286,19610.100000000002,11,Oct-18
10,"(13, 'Dec-18')",1256.0,160.02999999999997,7.8485284009248275,23,54.608695652173914,Agra,6.957826086956521,12789.525699999998,13,Dec-18
11,"(13, 'Feb-19')",0.0,40.0,0.0,6,0.0,Agra,6.666666666666667,5157.2,13,Feb-19
12,"(13, 'Jan-19')",1696.0,195.0,8.697435897435897,24,70.66666666666667,Agra,8.125,13653.250000000002,13,Jan-19
13,"(13, 'Nov-18')",1811.0,200.0,9.055,25,72.44,Agra,8.0,16813.6223,13,Nov-18
14,"(13, 'Oct-18')",1180.0,159.99,7.375460966310394,21,56.19047619047619,Agra,7.618571428571429,14462.522500000001,13,Oct-18
15,"(14, 'Dec-18')",1636.0,194.20999999999998,8.423871067401267,26,62.92307692307692,Agra,7.469615384615384,14960.5609,14,Dec-18
16,"(14, 'Feb-19')",0.0,40.00999999999999,0.0,5,0.0,Agra,8.001999999999999,5154.2444,14,Feb-19
17,"(14, 'Jan-19')",1800.0,210.02999999999997,8.570204256534781,27,66.66666666666667,Agra,7.778888888888888,14574.760900000001,14,Jan-19
18,"(14, 'Nov-18')",2077.0,237.13,8.758908615527348,25,83.08,Agra,9.485199999999999,19982.2027,14,Nov-18
