,PRV,totalKMS,totalFUEL,mileage,Total Days,KMs per day,District,FuelperDay
0,1,6575.0,564.97,11.63778607713684,100,65.75,Agra,5.6497
1,5,1705.0,240.0,7.104166666666667,29,58.793103448275865,Agra,8.275862068965518
2,11,9256.0,951.75,9.725242973469923,131,70.65648854961832,Agra,7.265267175572519
3,13,9453.0,894.96,10.562483239474389,126,75.02380952380952,Agra,7.102857142857143
4,14,10819.0,1056.37,10.241676685252328,131,82.58778625954199,Agra,8.063893129770992
5,15,10560.0,1011.98,10.434988833771419,133,79.3984962406015,Agra,7.608872180451128
6,17,11490.0,1070.01,10.738217399837385,129,89.06976744186046,Agra,8.294651162790698
7,21,6470.0,655.0,9.877862595419847,127,50.94488188976378,Agra,5.15748031496063
8,22,16957.0,1374.03,12.341069700079329,130,130.43846153846152,Agra,10.569461538461539
9,24,8540.0,709.98,12.028507845291417,133,64.21052631578948,Agra,5.338195488721805
10,30,10615.0,1000.04,10.614575416983321,124,85.60483870967742,Agra,8.064838709677419
11,35,11677.0,1079.99,10.81213714941805,131,89.13740458015268,Agra,8.244198473282443
12,36,8124.0,714.97,11.362714519490329,117,69.43589743589743,Agra,6.110854700854701
13,38,5235.0,574.96,9.104981216084596,108,48.47222222222222,Agra,5.323703703703704
14,45,17630.0,1266.19,13.92366074601758,131,134.5801526717557,Agra,9.66557251908397
15,47,14642.0,1182.07,12.386745285812177,132,110.92424242424242,Agra,8.955075757575758
16,48,14718.0,1095.01,13.440973141797793,130,113.21538461538462,Agra,8.423153846153847
17,51,15304.0,1204.48,12.705897980871413,133,115.06766917293233,Agra,9.05624060150376
18,54,16075.0,1259.05,12.767562845002185,131,122.70992366412214,Agra,9.611068702290076
19,58,15838.0,1277.33,12.39930166832377,129,122.7751937984496,Agra,9.901782945736434
20,60,15921.0,1270.0,12.536220472440945,132,120.61363636363636,Agra,9.621212121212121
21,64,15825.0,1247.8899999999999,12.681406213688708,131,120.80152671755725,Agra,9.525877862595419
22,65,14847.0,1165.03,12.743877840055621,128,115.9921875,Agra,9.101796875
23,67,15566.0,1190.04,13.080232597223624,131,118.82442748091603,Agra,9.084274809160306
24,68,12102.0,980.1499999999999,12.3470897311636,132,91.68181818181819,Agra,7.4253787878787865
25,71,16093.0,1213.92,13.257051535521285,133,121.0,Agra,9.127218045112782
26,72,13901.0,1024.91,13.563142129552837,131,106.1145038167939,Agra,7.823740458015267
27,74,5615.0,586.97,9.56607663083292,125,44.92,Agra,4.69576
28,76,4684.0,396.63,11.809494995335703,123,38.08130081300813,Agra,3.2246341463414634
29,78,8430.0,916.8599999999999,9.194424448661739,131,64.35114503816794,Allahabad,6.998931297709923
30,81,9837.0,929.3,10.585386850317445,129,76.25581395348837,Allahabad,7.203875968992247
31,82,9260.0,905.1400000000001,10.230461586052986,131,70.68702290076335,Allahabad,6.909465648854963
32,83,7494.0,760.0,9.860526315789473,127,59.00787401574803,Allahabad,5.984251968503937
33,84,8049.0,750.41,10.726136378779602,126,63.88095238095238,Allahabad,5.95563492063492
34,86,10020.0,931.47,10.757190247673032,129,77.67441860465117,Allahabad,7.220697674418605
35,87,11821.0,1235.77,9.565695881919774,133,88.8796992481203,Allahabad,9.291503759398497
36,89,8694.0,855.9100000000001,10.157610029091844,127,68.45669291338582,Allahabad,6.739448818897638
37,90,8898.0,1036.2400000000002,8.58681386551378,128,69.515625,Allahabad,8.095625000000002
38,93,6380.0,451.06,14.144459717110806,99,64.44444444444444,Allahabad,4.556161616161616
39,95,6182.0,724.5,8.532781228433402,126,49.06349206349206,Allahabad,5.75
40,97,4840.0,216.84,22.320605054418003,64,75.625,Allahabad,3.388125
41,99,3750.0,201.16,18.641877112746073,74,50.67567567567568,Allahabad,2.7183783783783784
42,100,11090.0,1220.97,9.082942250833353,127,87.32283464566929,Allahabad,9.613937007874016
43,115,21347.0,1007.31,21.19208585241882,132,161.71969696969697,Allahabad,7.631136363636363
44,116,22317.0,1519.81,14.684072351149158,132,169.0681818181818,Allahabad,11.513712121212121
