,prv_no,district,mileage,avg_distance,total_dist
0,1,Agra,13.328141317238083,75.3,7530.0
1,2,Agra,11.65654201024018,122.0958904109589,17826.0
2,3,Agra,9.210471204188481,60.24657534246575,8796.0
3,4,Agra,11.92543793981135,98.1986301369863,14337.0
4,5,Agra,8.604166666666666,71.20689655172414,2065.0
5,6,Agra,27.26595744680851,98.57692307692308,12815.0
6,7,Agra,12.519574346928605,107.41221374045801,14071.0
7,8,Agra,12.710243817636576,52.223214285714285,5849.0
8,9,Agra,9.224028687316942,79.01379310344828,11457.0
9,10,Agra,7.73620483160661,70.00704225352112,9941.0
10,11,Agra,10.15685535381458,74.04580152671755,9700.0
11,12,Agra,8.997179943598871,69.20769230769231,8997.0
12,13,Agra,10.290678591942234,79.0,10033.0
13,14,Agra,10.178758244257448,85.41221374045801,11189.0
14,15,Agra,9.79607479634218,82.6390977443609,10991.0
15,16,Agra,8.677083333333334,57.054794520547944,8330.0
16,17,Agra,10.355562125546735,92.31782945736434,11909.0
17,18,Agra,10.125107112253643,80.93150684931507,11816.0
18,19,Agra,9.94105426797926,92.32876712328768,13480.0
19,20,Agra,11.412698412698413,57.06349206349206,7190.0
20,21,Agra,8.835897435897436,54.267716535433074,6892.0
21,22,Agra,11.658289465862632,135.77692307692308,17651.0
22,24,Agra,11.223215878111544,66.2406015037594,8810.0
23,25,Agra,13.930769230769231,68.0827067669173,9055.0
24,26,Agra,13.82298009658846,100.064,12508.0
25,27,Agra,12.253186257002623,90.28571428571429,12008.0
26,28,Agra,12.814629152398773,136.46616541353384,18150.0
27,29,Agra,11.221776472441238,94.625,12112.0
28,30,Agra,10.516903196030922,88.20967741935483,10938.0
29,31,Agra,12.370035446560056,127.6030534351145,16716.0
30,32,Agra,-59.310978576190564,-350.1808510638298,-32917.0
31,33,Agra,11.097800449213183,88.35862068965517,12812.0
32,34,Agra,14.991508697847342,124.66412213740458,16331.0
33,35,Agra,10.03004238857566,93.02290076335878,12186.0
34,36,Agra,10.433929214753345,71.78632478632478,8399.0
35,37,Agra,16.875904066289266,76.82926829268293,9450.0
36,38,Agra,8.117518075145194,50.26605504587156,5479.0
37,39,Agra,12.385217391304348,97.55479452054794,14243.0
38,40,Agra,11.3179718894326,111.63698630136986,16299.0
39,41,Agra,10.893906810035842,104.08904109589041,15197.0
40,42,Agra,11.209302325581396,101.11888111888112,14460.0
41,43,Agra,13.730703193168939,114.98571428571428,16098.0
42,44,Agra,14.278456643225754,164.30769230769232,21360.0
43,45,Agra,13.078449208202322,139.38931297709922,18260.0
44,46,Agra,13.362549854028739,152.68702290076337,20002.0
45,47,Agra,11.356590020193831,114.60606060606061,15128.0
46,48,Agra,12.896855282756775,118.55384615384615,15412.0
47,49,Agra,12.63476962553364,128.54961832061068,16840.0
48,50,Agra,12.518893792202466,124.86363636363636,16482.0
49,51,Agra,11.915439788599473,117.77611940298507,15782.0
50,52,Agra,11.480828390622971,107.42857142857143,15040.0
51,53,Agra,12.04325730453089,137.12213740458014,17963.0
52,54,Agra,11.844392878178246,127.41221374045801,16691.0
53,55,Agra,13.078561801660799,115.7,15041.0
54,56,Agra,11.139096778844639,90.88970588235294,12361.0
55,57,Agra,11.606658518891294,133.52631578947367,17759.0
56,58,Agra,12.014602901634447,126.83076923076923,16488.0
57,60,Agra,11.747457422050147,124.10526315789474,16506.0
58,61,Agra,10.823310907540186,97.86986301369863,14289.0
59,62,Agra,10.843130120236943,111.03424657534246,16211.0
60,63,Agra,12.17439446366782,105.552,13194.0
61,64,Agra,11.898908091691375,125.61068702290076,16455.0
62,65,Agra,12.296120411464267,120.5625,15432.0
63,66,Agra,11.67737742797314,120.68656716417911,16172.0
64,67,Agra,12.169352099920758,123.09160305343511,16125.0
65,68,Agra,11.828803140275516,96.79545454545455,12777.0
66,69,Agra,12.439944074905734,112.93076923076923,14681.0
67,70,Agra,13.96333498491059,119.23076923076923,15500.0
68,71,Agra,12.409964878861837,124.46268656716418,16678.0
69,72,Agra,12.939471789355782,111.1145038167939,14556.0
70,73,Agra,11.810435042607267,101.74242424242425,13430.0
71,74,Agra,9.881690904776432,46.64,5830.0
72,75,Agra,12.986842105263158,70.5,4935.0
73,76,Agra,12.732290242543925,40.886178861788615,5029.0
74,77,Allahabad,8.230745972096239,40.11578947368421,3811.0
75,78,Allahabad,8.833649322379047,67.22137404580153,8806.0
76,79,Allahabad,8.841120092089787,48.397260273972606,7066.0
77,80,Allahabad,8.629852766590108,59.37404580152672,7778.0
78,81,Allahabad,9.796730930427492,79.72868217054264,10285.0
79,82,Allahabad,9.298748245428499,73.83206106870229,9672.0
80,83,Allahabad,9.758793720190779,61.86614173228347,7857.0
81,84,Allahabad,8.571889526383188,66.93700787401575,8501.0
82,85,Allahabad,10.993226506499484,79.60317460317461,10030.0
83,86,Allahabad,9.511563434741374,80.85271317829458,10430.0
84,87,Allahabad,8.972268729391638,92.27067669172932,12272.0
85,88,Allahabad,9.120983619731327,117.41379310344827,17025.0
86,89,Allahabad,10.133815470809477,71.49606299212599,9080.0
87,90,Allahabad,8.652349540468425,72.9609375,9339.0
88,91,Allahabad,11.27302992403891,86.96551724137932,12610.0
89,92,Allahabad,-264.84851514848515,-2207.2916666666665,-52975.0
90,93,Allahabad,9.558936315591316,69.24242424242425,6855.0
91,94,Allahabad,-57.521178637200734,-322.0,-31234.0
92,95,Allahabad,8.456709390530996,50.91338582677165,6466.0
93,97,Allahabad,17.886513157894736,80.3076923076923,5220.0
94,99,Allahabad,10.45477772100153,55.2972972972973,4092.0
95,100,Allahabad,12.586069234843514,125.36220472440945,15921.0
